"gid","manage_number","unnamed_ 3","사용중","dedong_semugo","sisul_gubum","detail_address","address_number","03057","underground","max_area","max_depi_person","2025-11-20","2025-11-22","34","longitude","latitude","city_code","city_number","city","henjung_code","henjung_name","geom"
1,"3000000-S200700005",NULL,"사용중","서울농학교 청각언어훈련센터 지하1층","공공용시설","서울특별시 종로구 필운대로 103, 국립서울농학교 청각언어훈련센터동 지하1층 (신교동)","서울특별시 종로구 신교동 1-1 국립서울농학교","3032.000000000000000","지하","198.000000000000000","198","2025-07-04 10:44:36","2025-07-06 02:40:00","35","126.969340320515357","37.585001331191499","11","11","11010","1111010200","청운효자동","0101000020E6100000B0D3FBAB09BE5F40BFCAD852E1CA4240"
2,"3000000-S200700006",NULL,"사용중","서울맹학교 초등교육관 지하1층","공공용시설","서울특별시 종로구 필운대로 97, 국립서울맹학교 초등교육관동 지하1층 (신교동)","서울특별시 종로구 신교동 1-4 국립서울맹학교","3032.000000000000000","지하","312.000000000000000","312","2025-09-22 15:44:49","2025-09-24 02:40:00","35","126.967756305842698","37.584768863404165","11","11","11010","1111010200","청운효자동","0101000020E6100000E60525B8EFBD5F401E05C4B4D9CA4240"
3,"3000000-S200700010",NULL,"사용중","유림회관 지하1층","공공용시설","서울특별시 종로구 성균관로 31 (명륜3가, 유림회관)","서울특별시 종로구 명륜3가 53번지","3063.000000000000000","지하","3159.530000000000200","3159","2025-11-21 14:14:12","2025-11-23 02:40:00","35","126.996701233496395","37.585481704224797","11","11","11010","1111017300","혜화동","0101000020E6100000FE6FF8F3C9BF5F40A3068210F1CA4240"
4,"3000000-S200700020",NULL,"사용중","서울대학교병원 융합의학기술원(정림빌딩)지하2층 강당","공공용시설","서울특별시 종로구 율곡로 214 (연건동, 정림빌딩)","서울특별시 종로구 연건동 187번지 1호","3122.000000000000000","지하","405.000000000000000","405","2025-11-21 13:55:31","2025-11-23 02:40:00","34","127.002655021135567","37.575844516255373","11","11","11010","1111016600","이화동","0101000020E6100000A33CF77F2BC05F40EA72EA45B5C94240"
5,"3000000-S200700025",NULL,"사용중","동대문맨션 지하1층","공공용시설","서울특별시 종로구 창신길 20 (창신동, 동대문맨션)","서울특별시 종로구 창신동 578번지 5호","3106.000000000000000","지하","209.000000000000000","209","2025-11-21 14:43:29","2025-11-23 02:40:00","34","127.011001421580900","37.572382159646473","11","11","11010","1111017400","창신제2동","0101000020E610000091794E3FB4C05F406B3F90D143C94240"
6,"3000000-S200700026",NULL,"사용중","우리은행창신동지점 지하1층","공공용시설","서울특별시 종로구 종로 311 (창신동, (주)우리은행창신동지점)","서울특별시 종로구 창신동 530번지 1호","3106.000000000000000","지하","132.000000000000000","132","2025-09-22 17:47:55","2025-09-24 02:40:00","34","127.012236327129798","37.572297133765034","11","11","11010","1111017400","창신제2동","0101000020E61000001F36E07AC8C05F40C48E500841C94240"
7,"3000000-S200700027",NULL,"사용중","지하철3호선 안국역 지하1~3층 대합실 승강장","공공용시설","서울특별시 종로구 율곡로 지하62, 3호선 안국역 (안국동)","서울특별시 종로구 안국동 155-2","3147.000000000000000","지하","10438.000000000000000","10438","2025-11-21 15:33:49","2025-11-23 02:40:00","34","126.985820300388582","37.576718802480123","11","11","11010","1111013400","가회동","0101000020E6100000B87907AE17BF5F40F9D1F5EBD1C94240"
8,"3000000-S200700032",NULL,"사용중","극동문제연구소 통일관 지하2층 주차장","공공용시설","서울특별시 종로구 북촌로15길 2, 극동문제연구소/통일관 지하2층 (삼청동)","서울특별시 종로구 삼청동 28-7 극동문제연구소/통일관","3053.000000000000000","지하","751.070000000000050","751","2025-11-21 15:34:25","2025-11-23 02:40:00","35","126.983673766943639","37.585804001934491","11","11","11010","1111014000","삼청동","0101000020E610000030BDD082F4BE5F40581623A0FBCA4240"
9,"3000000-S200700043",NULL,"사용중","한국방송통신대학교 본관 지하1층~3층 주차장","공공용시설","서울특별시 종로구 대학로 86, 한국방송통신대학 지하1-3층 (동숭동)","서울특별시 종로구 동숭동 169-1 한국방송통신대학","3087.000000000000000","지하","13159.000000000000000","13159","2025-03-25 17:59:33","2025-03-27 02:40:00","34","127.002989007719975","37.578414759259360","11","11","11010","1111016800","이화동","0101000020E6100000E899CEF830C05F407645AD7E09CA4240"
10,"3000000-S200700046",NULL,"사용중","KT혜화지사 지하1층 체력단련실","공공용시설","서울특별시 종로구 대학로 65 (연건동, KT혜화지사)","서울특별시 종로구 연건동 128번지 9호","3082.000000000000000","지하","216.000000000000000","216","2025-04-01 15:46:44","2025-04-03 02:40:00","34","127.001547830732676","37.577146798266668","11","11","11010","1111016600","이화동","0101000020E61000001A98125C19C05F40F2C53FF2DFC94240"
11,"3000000-S200700049",NULL,"사용중","서울지방국세청 지하2~4층","공공용시설","서울특별시 종로구 종로5길 86 (수송동, 국세청)","서울특별시 종로구 수송동 104번지","3151.000000000000000","지하","8166.000000000000000","8166","2025-11-20 17:06:02","2025-11-22 02:40:00","34","126.979892616113162","37.574142026357961","11","11","11010","1111012400","종로1.2.3.4가동","0101000020E610000011F3848FB6BE5F40BA3B657C7DC94240"
12,"3000000-S200700051",NULL,"사용중","대림빌딩 지하1~2층","공공용시설","서울특별시 종로구 종로1길 36 (수송동, 대림빌딩)","서울특별시 종로구 수송동 146번지 12호","3152.000000000000000","지하","3951.000000000000000","3951","2023-10-26 11:28:25","2025-08-22 02:40:00","34","126.978979812336235","37.573498045679727","11","11","11010","1111012400","종로1.2.3.4가동","0101000020E61000006A5BF19AA7BE5F40D6414B6268C94240"
